Place,filename,stream_url,thumb_url,title,Caption,Source,Subject/Tags,In point,out point,vocal cue in,vocal cue out,Source URL,notes
None,jackson_general_remarks_1.flv,,,Kenneth Jackson on unique New York,Columbia University Professor of History Kenneth Jackson discusses New York's distinguished past,"CCNMTL
",colonial new york; 19th century; 20th century; early population growth; Great Migration; Harlem; Harlem Renaissance; Harlem Hellfighters; Harlem Globetrotters; Bedford-Stuyvesant,00:00.31:24,00:03.27:18,"Well, I think New York is unusual...",...doesn't have the same buzz to it.
None,jackson_general_remarks_2.flv,,,Kenneth Jackson on pairing history and geography,Columbia University Professor of History Kenneth Jackson discusses the importance of combining history with geography,CCNMTL,geography; topography; Hudson River; space; ,00:03.45:18,00:06.06:21,Well I think two things.  One is history and geography...,...you're going to learn something by experiencing it.
the_african_burial_ground,jackson_the_african_burial_ground.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_the_african_burial_ground.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_the_african_burial_ground.jpg,Kenneth Jackson discusses the African Burial Ground ,Columbia University Professor of History Kenneth Jackson discusses the African Burial Ground,CCNMTL,"17th century; Trinity Church; 
",00:06.25:09,00:09.07:26,Well I think what's important about the African...,"...It had been buried itself, as just was the Burial Ground."
fort_amsterdam,jackson_fort_amsterdam.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_fort_amsterdam.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_fort_amsterdam.jpg,Kenneth Jackson discusses Fort Amsterdam,Columbia University History Professor Kenneth Jackson describes Fort Amsterdam and colonial New York,CCNMTL,17th century; topography; Dutch settlers; native americans; african-american role in construction,00:09.13.00,00:10.05:13,Well Fort Amsterdam ,...African Americans.
broadway,jackson_broadway.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_broadway.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_broadway.jpg,Kenneth Jackson on the significance of Broadway,Columbia University Professor of History Kenneth Jackson discusses the historical significance of Broadway,CCNMTL,broadway; five points; San Juan Hill; Harlem; ,00:10.10.00,00:13.27:02,Well the most important street...,..significance in African American history that's run through going on 400 years.
1_wall_st,jackson_1_wall_street.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_1_wall_street.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_1_wall_street.jpg,Kenneth Jackson describes Wall Street,Columbia University History Professor Kenneth Jackson describes the construction of Wall Street,CCNMTL,banking industry; native americans; New Amsterdam; african-american role in construction; suburbs,00:13.28:25,00:15.50:24,"Well Wall Street is, like so many of...",...that's a less desirable place to be at the time.,,"though placename matches, video not showing up in admin"
water,jackson_water.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_water.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_water.jpg,Kenneth Jackson discusses the laying of New York's first water pipes,Columbia University History Professor Kenneth Jackson discusses the laying of New York's first water pipes,CCNMTL,topography; population growth; 19th century; water rights; african-american role in construction; ,00:15.57:09,00:19.20:20,Water is one of the great treasures of New York City,...to provide the city with fresh water; actually it's a great system.
hughson-s_tavern,jackson_hughson-s_tavern.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_hughson-s_tavern.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_hughson-s_tavern.jpg,Kenneth Jackson on Hughson's Tavern,Columbia University Professor of History Kenneth Jackson describes Hughson's Tavern and the revolt of 1741,CCNMTL,1712 slave revolt; 1741 slave revolt; John Uri; John Hughson; slavery,00:19.26:24,00:23.57:08,"Well, there have been several occasions in New York History",...We do know and awful lot of people died.
execution_grounds,jackson_execution_grounds.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_execution_grounds.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_execution_grounds.jpg,Kenneth Jackson describes the execution grounds,"Kenneth Jackson, Columbia University Professor of History, describes the execution grounds of New York City's colonial era",CCNMTL,colonial new york; slavery; law,00:24.06:21,00:24.08:22,In our time we still execute people...,...were attended by thousands of people.
fraunces_tavern,jackson_fraunces_tavern_1.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/jackson_fraunces_tavern.flv,http://ccnmtl.columbia.edu/broadcast/projects/maap/thumbs/jackson_fraunces_tavern.jpg,Kenneth Jackson on Fraunces Tavern 1,"Kenneth Jackson, Columbia University Professor of History, describes Fraunces' Tavern",CCNMTL,colonial new york; New Amsterdam; Puerto Rico; American Revolution; George Washington,00:24.54:05,00:26.42:05,Fraunces tavern is a building in lower Manhattan...,...and so the party is in Fraunces Tavern.
